product_id,date,stock_received,damaged_stock,Wastage_Rate
153019,1-03-23,4,1,25.0
848226,1-03-23,4,1,25.0
965755,1-03-23,1,0,0.0
39154,1-03-23,4,0,0.0
34186,1-03-23,3,1,33.33333333333333
478531,1-03-23,4,1,25.0
812607,1-03-23,4,0,0.0
818990,1-03-23,4,0,0.0
284460,1-03-23,4,0,0.0
654297,1-03-23,4,1,25.0
376447,1-03-23,4,0,0.0
888807,1-03-23,1,0,0.0
41853,1-03-23,4,0,0.0
257719,1-03-23,4,0,0.0
799952,1-03-23,3,0,0.0
833557,1-03-23,4,0,0.0
324809,1-03-23,1,0,0.0
592784,1-03-23,3,0,0.0
487065,1-03-23,4,0,0.0
734789,1-03-23,4,0,0.0
654623,1-03-23,4,0,0.0
990993,1-03-23,1,0,0.0
762527,1-03-23,4,0,0.0
602241,1-03-23,1,1,100.0
491521,1-03-23,3,0,0.0
832348,1-03-23,3,1,33.33333333333333
567671,1-03-23,4,0,0.0
540618,1-03-23,3,0,0.0
687218,1-03-23,3,1,33.33333333333333
328457,1-03-23,3,0,0.0
300159,1-03-23,3,1,33.33333333333333
378676,1-03-23,3,0,0.0
532965,1-03-23,4,0,0.0
305754,1-03-23,1,0,0.0
611575,1-03-23,3,0,0.0
621677,1-03-23,3,0,0.0
306177,1-03-23,4,0,0.0
901144,1-03-23,3,0,0.0
53833,1-03-23,4,0,0.0
490602,1-03-23,4,0,0.0
287070,1-03-23,1,0,0.0
317242,1-03-23,3,0,0.0
461804,1-03-23,3,0,0.0
820541,1-03-23,3,0,0.0
91670,1-03-23,3,1,33.33333333333333
144124,1-03-23,3,1,33.33333333333333
677542,1-03-23,1,0,0.0
604184,1-03-23,1,0,0.0
968887,1-03-23,4,0,0.0
700048,1-03-23,3,1,33.33333333333333
473647,1-03-23,3,0,0.0
753354,1-03-23,3,0,0.0
490939,1-03-23,4,0,0.0
970529,1-03-23,3,1,33.33333333333333
433521,1-03-23,3,1,33.33333333333333
927651,1-03-23,3,0,0.0
942001,1-03-23,3,1,33.33333333333333
585299,1-03-23,3,0,0.0
52729,1-03-23,4,0,0.0
661577,1-03-23,3,0,0.0
951463,1-03-23,4,0,0.0
243235,1-03-23,3,1,33.33333333333333
564692,1-03-23,2,0,0.0
131748,1-03-23,2,0,0.0
913428,1-03-23,2,0,0.0
726958,1-03-23,3,0,0.0
425341,1-03-23,1,0,0.0
677169,1-03-23,2,0,0.0
26060,1-03-23,3,0,0.0
237083,1-03-23,2,0,0.0
669378,1-03-23,3,0,0.0
890623,1-03-23,2,0,0.0
